english,endpoint
Red light therapy face mask to reduce wrinkles and significantly improve firmness and elasticity.,shop-all
FAQ™ 202 Bundle,shop-all
FAQ™ 502,shop-all
"The world's first full-spectrum red light therapy with NIR. Mimics the sun’s natural healing wavelengths, delivering broad and narrow light while filtering out UV and blue.",shop-all
FAQ™ 501,shop-all
"The world’s first full spectrum red light therapy device for skin rejuvenation. Harnesses the healing power of sunlight, minus the harmful rays.",shop-all
FAQ™ Dual LED Panel,shop-all
"The gold standard in LED panels. With 5 clinically proven wavelengths, diamond‑shaped lenses & extremely powerful LEDs. Designed for face & body.",shop-all
FAQ™ LED Panel,shop-all
Superior LED panel with 5 clinically proven wavelengths & revolutionary diamond‑shaped lenses. Designed for complete skin coverage.,shop-all
issa™ 4,shop-all
The world's first hybrid sonic toothbrush. Clinically proven to remove 30% more plaque.,shop-all
issa™ 4 plus,shop-all
"With AI-powered intensity control & a revolutionary hybrid brush head for deep cleaning, gum protection, and plaque reduction.",shop-all
issa™ 4 smile,shop-all
"Ultra-hygienic hybrid silicone sonic toothbrush, clinically proven to improve oral hygiene by 140% in just 1 month.",shop-all
issa™ 4 baby,shop-all
The toothbrush that makes both you & your baby smile.,shop-all
issa™ baby Brush Head,shop-all
Designed with love for your little one. Ultra-soft silicone brush head gently cleans tiny teeth and soothes sensitive gums. Safe for babies 0-3.,shop-all
FAQ™ 402,shop-all
"The world’s first anti-aging device with dual microcurrent, NIR, and red light therapy - repairing multiple skin layers and deep tissues while strengthening the muscles beneath.",shop-all
FAQ™ 411,shop-all
"A microcurrent and red LED body toning device that firms, boosts collagen, enhances microcirculation, and reduces cellulite.",shop-all
FAQ™ 401,shop-all
Dual microcurrent facial device with red and blue LED light therapy that lifts and contours facial muscles while combating wrinkles.,shop-all
FAQ™ Body Sculpt Serum,shop-all
"A conductive body serum specifically designed for microcurrent devices. It also helps reduce the appearance of cellulite, leaving the skin smoother and firmer.",shop-all
"The world’s 1st professional IPL device for at-home use, with supreme power, ultra-large treatment window, and skin cooling system.",shop-all
"Purifies the scalp, strengthens hair strands, and stimulates the growth of new hair.",shop-all
FAQ™ 211,shop-all
The ultimate anti-aging solution to target sagging skin and wrinkles.,shop-all
FAQ™ 221,shop-all
"Eliminates wrinkles & age spots, while improving firmness and elasticity.",shop-all
"Safe, painless and non-invasive alternative to facelifts and botox.",shop-all
BEAR™ 2 Bundle,shop-all
"The only anti-aging device to feature 4 types of microcurrent and Anti-Shock System™, designed to lift and firm the face and neck.",shop-all
"Effortless hair removal anytime, anywhere.",shop-all
IPL hair removal device,shop-all
"Exfoliate away scars, age spots, wrinkles & dullness.",shop-all
"The fastest, safest, and most efficient way to remove blackheads and clear pores.",shop-all
BEAR™ 2 go,shop-all
"Snatched skin anytime, anywhere with this travel-ready microcurrent device.",shop-all
BEAR™ 2 eyes & lips Bundle,shop-all
Precision microcurrent for eye & lip contours,shop-all
BEAR™ 2 eyes & lips,shop-all
The best alternative to botox. Firm eye contour. Plump lips. Lift brows. In just 1 week.,shop-all
Eliminate stubborn cellulite with ease and get a more sculpted physique.,shop-all
Like an iron for your wrinkles. Clinically proven to reduce wrinkles in just 1 week.,shop-all
UFO™ 3 Bundle,shop-all
Hyper-Infusion masking with full-spectrum LED therapy,shop-all
UFO™ 3 LED,shop-all
A revolutionary NIR and red light therapy facial device clinically proven to reduce wrinkles in just 1 week.,shop-all
UFO™ 3 mini,shop-all
"Your 2 min quick-fix for happy, energized and radiant skin.",shop-all
UFO™ 3 go,shop-all
"On-the-go deep facial hydration device that leaves you with a healthy, happy & hydrated complexion in just 2 mins.",shop-all
Sensitive Skin,shop-all
LUNA™ 4,shop-all
Best-selling 2-in-1 smart facial cleansing & firming device.,shop-all
Balanced Skin,shop-all
Combination Skin,shop-all
Smart cleansing device with T-Sonic™ & firming massage,shop-all
Treats and heals spot-prone skin and regulates sebum production.,shop-all
Normal Skin,shop-all
LUNA™ 4 plus,shop-all
"Near-infrared, red LED cleansing & microcurrent. For aging skin.",shop-all
LUNA™ 4 mini,shop-all
Dual-sided facial cleansing massager.,shop-all
LUNA™ 4 go,shop-all
Travel-friendly facial cleansing & massaging device.,shop-all
FAQ™ 101,shop-all
A powerful fusion of professional & home beauty.,shop-all
FAQ™ 102,shop-all
"FAQ™ 102 delivers EMS, RF & LED light therapy to the face & neck, to tone muscles, accelerate collagen production, and revitalize skin.",shop-all
FAQ™ 103 Diamond Set,shop-all
At-home professional facial rejuvenation.,shop-all
FAQ™ 201,shop-all
Red light therapy to reduce wrinkles and significantly improve firmness and elasticity.,shop-all
BEAR™,shop-all
"Microcurrent facelift device that tightens and firms, providing a reverse-aging effect.",shop-all
Combination skin,shop-all
LUNA™ 3,shop-all
Soft silicone facial cleansing brush for every skin type.,shop-all
Normal skin,shop-all
LUNA™ 3 plus,shop-all
Thermo-facial cleansing brush that lifts your face with microcurrent.,shop-all
Sensitive skin,shop-all
BEAR™ mini,shop-all
A compact facial toning device for targeted treatment of wrinkle-prone areas.,shop-all
UFO™ mini 2,shop-all
Compact facial spa device that unlocks the full value of masks.,shop-all
IRIS™,shop-all
"Eye massager that removes wrinkles, puffiness, dark circles, and under-eye bags.",shop-all
LUNA™ mini 3,shop-all
Compact dual-sided facial cleansing brush for all skin types.,shop-all
LUNA™ play smart 2,shop-all
Facial cleansing device with smart skin sensors to create individual routines.,shop-all
LUNA™ play plus 2,shop-all
Tiny but mighty facial cleansing brush for skincare on the go.,shop-all
ISSA™ kids,shop-all
Establish good oral hygiene habits and make brushing fun. For kids 5-12.,shop-all
ISSA™ baby,shop-all
Sonic toothbrush that soothes gum irritation. For babies 0-4.,shop-all
ISSA™ mini Hybrid Brush Head,shop-all
The mini version of the hybrid brush head – silicone + PBT polymer bristles.,shop-all
ISSA™ mini Sensitive Brush Head,shop-all
The mini version of the softest ISSA™ brush head made from medical-grade silicone.,shop-all
FAQ™ LED Panel Protective Sleeve,shop-all
Effortless Protection. Elevated Style.,shop-all
FAQ™ 200 Travel Case,shop-all
Premium LED Face Mask Travel Case,shop-all
KIWI™ derma Replacement Tip - Small,shop-all
Precisely exfoliates the T-zone area.,shop-all
KIWI™ derma Replacement Tip - Large,shop-all
Gently exfoliates the cheeks & sensitive areas.,shop-all
KIWI™ Replacement Tip,shop-all
Medical-grade steel tip for your KIWI™ blackhead remover pore vacuum device.,shop-all
UFO™ Display Stand,shop-all
Holder for your favourite UFO™ deep hydration device,shop-all
FAQ™ Silicone Cleaning Spray,shop-all
Maintains the device’s cleanliness by killing 99.9% of bacteria and other microbes.,shop-all
PEACH™ 2 power cable with 4 plug adaptors,shop-all
Power cable with 4 plug adaptors.,shop-all
PEACH™ 2 Pro Max Power Cable,shop-all
Power cable with 4 plug adapters.,shop-all
FAQ™ Charger USB,shop-all
Compatible with all your FAQ™ devices,shop-all
