english,spanish,gemma3:4b-it-qat,endpoint,score
Thermo-facial cleansing brush that lifts your face with microcurrent.,Thermo-facial cleansing brush that lifts your face with microcurrent.,Cepillo de limpieza facial y microcorriente que eleva el rostro.,luna-facial-cleansing,0.6421
Compact dual-sided facial cleansing brush for all skin types.,Compact dual-sided facial cleansing brush for all skin types.,Cepillo facial de doble cara compacto para todo tipo de piel.,luna-facial-cleansing,0.6352
The most gentle cleanse,The most gentle cleanse,La limpieza más suave,luna-facial-cleansing,0.7511
Tiny but mighty facial cleansing brush for skincare on the go.,Tiny but mighty facial cleansing brush for skincare on the go.,Cepillo facial de limpieza pequeño pero potente para el cuidado de la piel en movimiento.,luna-facial-cleansing,0.6183
Cleanse & refresh on-the-go,Piel limpia y fresca estés donde estés,Limpiar y refrescar sobre la marcha,luna-go-collection,0.4671
Your travel-friendly skincare essential.,Cuidado de la piel en el gimnasio o de viaje,Tu esencial de cuidado de la piel de viaje.,luna-go-collection,0.6654
"LUNA™ 4's little sister - perfect for the times when you really need to cleanse your skin while out and about — after sweating at the gym, sleeping on a flight, or lying on the beach.","Toma el control del estado de tu piel incluso en los días más ajetreados. LUNATM 4 go es el hermano pequeño de LUNATM 4, y ha sido probado clínicamente que elimina el 99% de suciedad, grasa y restos de maquillaje. Es perfecto para esos momentos en los que necesitas limpiar tu piel fuera de casa - después de sudar en el gimnasio, dormir en un vuelo o descansar en la playa.","La hermana pequeña de LUNA™ 4 - perfecta para cuando realmente necesitas limpiar tu piel mientras estás fuera de casa: después de sudar en el gimnasio, dormir en un vuelo o tumbarte en la playa.",luna-go-collection,0.7125
"Effortless 1-min facial cleanse? Check. Targeted firming facial massage? Check. Light, compact, and travel-friendly? Check. Fresh, healthy-looking radiance? You know it!","¿Limpieza facial de 1 minuto sin esfuerzo? Sí. ¿Masaje facial reafirmante y preciso? Sí. ¿Ligero, compacto y fácil de transportar? Sí. ¿Piel fresca, sana y luminosa? ¡Por supuesto!","Limpieza facial de 1 minuto sin esfuerzo? Comprobado. Masaje facial reafirmante dirigido? Comprobado. Ligero, compacto y apto para viajar? Comprobado. Luminosidad fresca y saludable? ¡Lo sabes!",luna-go-collection,0.7741
Travel-friendly,Ideal para llevar de viaje,Viajero-amigable,luna-go-collection,0.5569
Healthy complexion,Piel más sana,Complexión saludable,luna-go-collection,0.6186
"Compact & lightweight, LUNA™ 4 go offers a deep in-pore cleanse and firming massage on-the-go. Clinically proven to remove 99% of dirt, oil, and makeup residue - giving you a radiant complexion no matter where your adventures take you...","Toma el control del estado de tu piel incluso en los días más ajetreados. LUNA™ 4 go es el nuevo dispositivo esencial de cuidado facial para lucir una piel radiante en cualquier lugar. ¡Limpieza facial de 1 minuto sin esfuerzo? Sí. ¿Masaje facial reafirmante y preciso? Sí. ¿Ligero, compacto y fácil de transportar? Sí. ¿Piel fresca, sana y luminosa? ¡Por supuesto!","Compact & ligero, LUNA™ 4 go ofrece un limpieza profunda en el poro y un masaje reafirmante sobre la marcha. Clínicamente probado para eliminar el 99% de suciedad, aceite y residuos de maquillaje - dándote un cutis radiante sin importar dónde te lleven tus aventuras...",luna-go-collection,0.6344
100% of users report more refreshed & radiant skin.,35 veces más higiénico que los cepillos con filamentos de nylon.,El 100% de los usuarios reporta una piel más refrescada y radiante.,luna-go-collection,0.5916
2-zone brush head with thick and thin touchpoints for all skin types.,El 98% de usuarios sintió una mayor absorción de sus productos de cuidado facial.,Cabezal de cepillo de 2 zonas con puntos de contacto gruesos y delgados para todo tipo de pieles.,luna-go-collection,0.4788
Firm,Reafirma la piel,Firma,luna-go-collection,0.547
SUPERCHARGED™ Barrier Restoring Essence Mist,SUPERCHARGED™ Bruma facial restauradora,SUPERCHARGED™ Barrera Restauradora Esencia Aerosol,luna-go-collection,0.7398
Ultra-hygienic silicone,Resultados clínicos y opiniones de expertos,Silicones ultra-higiénicos,luna-go-collection,0.4431
Affiliate News,Noticias de afiliados,Afiliados Noticias,luna-go-collection,0.7913
"Skincare smarter, not harder.",Limpieza facial inteligente para piel y barba,"Cuida tu piel de forma más inteligente, no más difícil.",luna-men-collection,0.5273
"Remove 99% of dirt, oil and sweat. Prevent breakouts. Eliminate razor burn. Take your facial cleansing routine to a pro level. Designed for expert care of thicker and oilier male skin, LUNA™ 4 MEN cleanses the face and conditions the beard for the smoothest shave of your life.","Tu piel acumula más de 4 kilos de suciedad y células muertas de la piel en un año. Limpiar tu rostro con las manos no es tan eficaz como piensas. Por eso, hemos creado un dispositivo de limpieza facial 2 en 1 que elimina el 99% de suciedad y grasa de la piel y el vello facial, y lo hemos probado clínicamente.","Elimina el 99% del sucio, el aceite y el sudor. Previene los brotes. Elimina la irritación por afeitar. Lleva tu rutina de limpieza facial al nivel de un profesional. Diseñado para el cuidado experto de la piel masculina más gruesa y grasa, LUNA™ 4 MEN limpia la cara y acondiciona el vello facial para el mejor afeitado de tu vida.",luna-men-collection,0.6978
"94% of users report more energized skin, and an even skin tone.",El 94% declaró sentir la piel más revitalizada y con un tono más uniforme.,El 94% de los usuarios informa de una piel más enérgica y un tono de piel más uniforme.,luna-men-collection,0.7785
"90% of users report a closer shave, less razor burn and longer lasting razor blades.",El 90% de los usuarios declaró sentir el afeitado más apurado y menos irritación.,"El 90% de los usuarios informa de un afeitado más cercano, menos irritación por la cuchilla y hojas de afeitar que duran más.",luna-men-collection,0.799
"LUNA™ 4 MEN delivers a deep, personalized cleanse that targets your unique skin concerns, while firming the face and neck in 1 min. Experience the smoothest shave, reduce breakouts & ingrown hairs, prevent razor burn, and make razor blades last for up to 2x as long.","Tu piel acumula más de 4 kilos de suciedad y células muertas de la piel en un año, y limpiar tu rostro con las manos no es tan eficaz como piensas. Por eso, hemos creado un dispositivo de limpieza facial 2 en 1 que elimina el 99% de suciedad y grasa de la piel y el vello facial, y lo hemos probado clínicamente.","LUNA™ 4 MEN ofrece una limpieza profunda y personalizada que se dirige a tus preocupaciones únicas de la piel, al tiempo que reafirma la cara y el cuello en 1 minuto. Experimenta el afeitado más suave, reduce las brotes y los vellos encarnados, previene la irritación por afeitar y haz que las hojas de afeitar duren hasta 2 veces más.",luna-men-collection,0.6294
100% of users report it's better than cleansing by hand.,El 100% de los usuarios declaró sentir la piel mejor que al limpiarla con las manos,El 100% de los usuarios informa que es mejor que la limpieza a mano.,luna-men-collection,0.7523
"90% of users report a closer shave, less razor burn & longer lasting razor blades.","El 90% de los usuarios declaró sentir el afeitado más apurado, menos irritación y una mayor duración de las cuchillas","El 90% de los usuarios informa de un afeitado más cercano, menos irritación de la cuchilla y hojas de cuchilla más duraderas.",luna-men-collection,0.7804
"16 intensities, 4 guided massages & 600 uses per USB charge.","16 intensidades, 3 modos de limpieza, 4 masajes guiados y 5 tipos de masaje","16 intensidades, 4 masajes guiados y 600 usos por carga USB.",luna-men-collection,0.7025
LUNA™ 2-in-1 Shaving + Cleansing Foaming Cream 2.0,LUNA™ 2-in-1 Shaving + Cleansing Foaming Cream 2.0,LUNA™ 2-en-1 Crema Espumosa de Afeitado y Limpieza 2.0,luna-men-collection,0.7385
About The story of FOREO FOREO partnerships MYSA: Beauty & Wellbeing Journal Find your ideal FOREO device! Technologies behind Benefits Clinical Results & Expert Reviews Contact us,ACERCA DE La historia de FOREO Colaboraciones de FOREO MYSA: blog de belleza y bienestar ¡Encuentra tu dispositivo FOREO ideal! Tecnologías y resultados Resultados clínicos y opiniones de expertos Contacta con nosotros,Sobre La historia de FOREO FOREO colaboraciones MYSA: Belleza y Bienestar Diario Encuentra tu dispositivo FOREO ideal! Tecnologías detrás Beneficios Resultados Clínicos y Reseñas Expertas Contacta con nosotros,luna-men-collection,0.7473
Clean skin. Fewer breakouts. Instant glow.,"Una piel limpia, sana y radiante. Todos los días.",Piel limpia. Menos brotes. Brillo instantáneo.,luna-mini-collection,0.6377
The mini-but-mighty must-have for young skin,La mejor forma de preparar la piel,El mini-pero-poderoso imprescindible para la piel joven,luna-mini-collection,0.5361
"Get clear, glowing skin with minimum effort. LUNA™ 4 mini unclogs pores to stop breakouts, and tackles an oily complexion. It's clinically proven to remove 99% of dirt, oil and makeup residue.","Ha sido probado clínicamente que elimina el 99% de suciedad, grasa y restos de maquillaje. Ultra higiénico. Más suave que nunca. Este compacto y potente limpiador y masajeador facial inteligente ilumina tu piel de una forma sencilla y agradable. El cabezal de cepillado de 2 zonas es perfecto para todo tipo de pieles.","Logra una piel clara y radiante con mínimo esfuerzo. LUNA™ 4 mini desobstruye los poros para detener los brotes, y combate una piel grasa. Está clínicamente probado para eliminar el 99% del sucio, el aceite y los residuos de maquillaje.",luna-mini-collection,0.6748
"When in a hurry, use 30-second Glow Boost mode for a quick refresh. Healthy skin is happy skin, and now every day can be a perfect skin day.","Fabricado con silicona resistente a las bacterias para disminuir las imperfecciones. Cuando tengas prisa, usa el modo Glow Boost de 30 segundos. Exfolia las células muertas de la piel, aumenta el drenaje linfático y la absorción de tus productos.","Cuando tengas prisa, utiliza el modo Glow Boost de 30 segundos para una rápida actualización. La piel sana es una piel feliz, y ahora cualquier día puede ser un día perfecto para la piel.",luna-mini-collection,0.6025
Healthy complexion,Una piel sana,Complexión saludable,luna-mini-collection,0.5806
"LUNATM 4 mini uses T-SonicTM pulsations and velvety-soft silicone touchpoints to remove impurities trapped deep within pores. It is clinically proven to remove 99% of dirt, oil and makeup residue, and is 35x more hygienic than brushes with nylon bristles.","LUNATM 4 mini uses T-SonicTM pulsations and velvety-soft silicone touchpoints to remove impurities trapped deep within pores. It is clinically proven to remove 99% of dirt, oil and makeup residue, and is 35x more hygienic than brushes with nylon bristles.","LUNATM 4 mini utiliza pulsaciones T-SonicTM y puntos de contacto de silicona suave como la seda para eliminar las impurezas atrapadas profundamente en los poros. Está clínicamente probado para eliminar el 99% del sucio, el aceite y los residuos de maquillaje, y es 35 veces más higiénico que los cepillos con cerdas de nailon.",luna-mini-collection,0.7447
Reveal a radiant complexion in just 30 seconds. Quick-press Glow Boost mode gets you flawless skin when there’s no time for a full routine. 100% of users report more radiant skin after use.,Reveal a radiant complexion in just 30 seconds. Quick-press Glow Boost mode gets you flawless skin when there’s no time for a full routine. 100% of users report more radiant skin after use.,Revela una tez radiante en tan solo 30 segundos. El modo Glow Boost de un solo toque te consigue una piel perfecta cuando no hay tiempo para una rutina completa. El 100% de los usuarios reporta una piel más radiante tras su uso.,luna-mini-collection,0.7904
Healthy complexion,Healthy complexion,Complexión saludable,luna-mini-collection,0.7062
"T-SonicTM pulsations boost microcirculation - delivering nutrients to skin cells and eliminating toxins, while boosting lymphatic drainage. 100% of users report more refreshed skin, with 96% claiming skin looks healthier.","T-SonicTM pulsations boost microcirculation - delivering nutrients to skin cells and eliminating toxins, while boosting lymphatic drainage. 100% of users report more refreshed skin, with 96% claiming skin looks healthier.","Las pulsaciones T-Sonic™ estimulan la microcirculación - entregando nutrientes a las células de la piel y eliminando toxinas, mientras estimulan el drenaje linfático. El 100% de los usuarios reporta una piel más fresca, y el 96% afirma que la piel luce más sana.",luna-mini-collection,0.7992
Flawless prep,Flawless prep,Preparación impecable,luna-mini-collection,0.7964
"Prep your skin for the most effective skincare routine. LUNATM 4 mini enables the active ingredients in your creams, serums, and masks to penetrate deep into skin, where they work the best. 98% of users report better absorption of skincare products.","Prep your skin for the most effective skincare routine. LUNATM 4 mini enables the active ingredients in your creams, serums, and masks to penetrate deep into skin, where they work the best. 98% of users report better absorption of skincare products.","Prepara tu piel para la rutina de cuidado más eficaz. LUNATM 4 mini permite que los ingredientes activos de tus cremas, sérums y mascarillas penetren profundamente en la piel, donde funcionan mejor. El 98% de los usuarios informa de una mejor absorción de los productos de cuidado de la piel.",luna-mini-collection,0.7636
Reduce blemishes,Reduce blemishes,Reducir las manchas,luna-mini-collection,0.7476
"Made of ultra-hygienic silicone, LUNATM 4 mini is bacteria-resistant to reduce breakouts. It also gently exfoliates skin, removing dead skin cells to reveal fresh healthy skin below. 81% of users report reduced appearance of blemishes.","Made of ultra-hygienic silicone, LUNATM 4 mini is bacteria-resistant to reduce breakouts. It also gently exfoliates skin, removing dead skin cells to reveal fresh healthy skin below. 81% of users report reduced appearance of blemishes.","Hecho de silicona ultra-higiénica, LUNATM 4 mini es resistente a las bacterias para reducir las brotadas. También exfolia suavemente la piel, eliminando las células muertas de la piel para revelar una piel fresca y saludable debajo. El 81% de los usuarios informa de una reducción en la apariencia de las imperfecciones.",luna-mini-collection,0.7569
LUNATM 4 mini’s revolutionary silicone touchpoints are now 17% softer to glide even more effortlessly across the skin and preserve natural elasticity. It offers 12 intensities and lasts up to 500 uses per one USB charge. No replacement parts needed. Ever.,LUNATM 4 mini’s revolutionary silicone touchpoints are now 17% softer to glide even more effortlessly across the skin and preserve natural elasticity. It offers 12 intensities and lasts up to 500 uses per one USB charge. No replacement parts needed. Ever.,Los puntos de contacto de silicona revolucionarios de LUNATM 4 mini son ahora un 17% más suaves para deslizarse aún más sin esfuerzo sobre la piel y preservar la elasticidad natural. Ofrece 12 intensidades y dura hasta 500 usos con una sola carga USB. No se necesitan piezas de repuesto. Nunca.,luna-mini-collection,0.7858
"The answer to all your skin problems is finally here. LUNA™ 4 mini uses T-Sonic™ massage to effortlessly deep clean pores, while exfoliating dull skin. With thicker touchpoints to target the oiler T-zone area, and thinner touchpoints to gently cleanse the rest of the face, this device is an essential for any young skincare enthusiast.","Un dispositivo compacto y potente indispensable para cualquier fan del cuidado facial. Ha sido probado clínicamente que sus pulsaciones T-Sonic™ eliminan el 99% de suciedad, grasa y restos de maquillaje para limpiar profundamente los poros, las zonas con problemas y reducir las imperfecciones. Y cuando tengas prisa, usa el modo Glow Boost de 30 segundos para una limpieza rápida.","La respuesta a todos tus problemas de piel finalmente está aquí. LUNA™ 4 mini utiliza el masaje T-Sonic™ para limpiar profundamente los poros con facilidad, mientras exfolia la piel apagada. Con puntos de contacto más gruesos para dirigirse al área T-zona más grasa, y puntos de contacto más delgados para limpiar suavemente el resto del rostro, este dispositivo es esencial para cualquier entusiasta de la skincare joven.",luna-mini-collection,0.7399
"Clinically proven to remove 99% of dirt, oil & makeup residue.",35 veces más higiénico que los filamentos de nylon.,"Clinicamente probado para eliminar el 99% del sucio, aceite y residuos de maquillaje.",luna-mini-collection,0.5757
2-zone brush head & quick 30-second Glow Boost mode for ultimate ease.,Cabezal de 2 zonas y modo rápido Glow Boost para facilitar la limpieza.,Cabezal de cepillo de 2 zonas y modo de impulso de brillo de 30 segundos para la máxima facilidad.,luna-mini-collection,0.762
Rinse,Aclara,Enjuagar,luna-mini-collection,0.6261
IRIS™ C-Concentrated Brightening Eye Cream,IRIS™ C-Concentrated Brightening Eye Cream,IRIS™ C-Concentrado Iluminador para el Contorno de los Ojos,luna-mini-collection,0.7061
Firm & plump,Reafirma y rellena,Firme y redondo,luna-plus-collection,0.5004
Unlock device,Micro-Foam Cleanser,Desbloquear dispositivo,luna-plus-collection,0.5316
Tighten & firm,Reafirma y tonifica,Aprieta y firme.,luna-plus-collection,0.4207
Increases firmness,Mejora la firmeza,Aumenta la firmeza,red-light-therapy,0.7368
Reduces redness,Reduce las rojeces,Reduce la rojez,red-light-therapy,0.6313
"The world's first full-spectrum red light therapy with NIR. Mimics the sun’s natural healing wavelengths, delivering broad and narrow light while filtering out UV and blue.","El primer dispositivo del mundo de terapia con luz roja de espectro completo para el rejuvenecimiento de la piel. Aprovecha el poder reparador de la luz solar, pero sin los rayos dañinos.","La primera terapia con luz roja de espectro completo con NIR. Imita las longitudes de onda naturales de curación del sol, entregando luz amplia y estrecha mientras filtra los rayos UV y el azul.",red-light-therapy,0.6996
Red light therapy to reduce wrinkles and significantly improve firmness and elasticity.,Disminuye las líneas de expresión y las imperfecciones con 3 luces LED.,Terapia roja de luz para reducir las arrugas y mejorar significativamente la firmeza y la elasticidad.,red-light-therapy,0.6074
A revolutionary NIR and red light therapy facial device clinically proven to reduce wrinkles in just 1 week.,Clínicamente probado para aumentar la hidratación de la piel un 126% en sólo 2 minutos.,"Dispositivo de terapia con luz infrarroja cercana y roja, clínicamente probado para reducir las arrugas en solo 1 semana.",red-light-therapy,0.6652
"On-the-go deep facial hydration device that leaves you with a healthy, happy & hydrated complexion.",Hidrata profundamente la piel en cualquier momento y lugar.,"Dispositivo de hidratación profunda facial en cualquier lugar que te deje con una tez sana, feliz e hidratada.",red-light-therapy,0.6951
HAND MASKS,MASCARILLAS DE MANO,Mascarillas para las manos,red-light-therapy,0.5787
Hands Down: LED Hand Masks Are Your Best Anti-Aging Move,No hay duda: las mascarillas LED son tu mejor opción antiedad,Manos a la obra: Las máscaras faciales LED son tu mejor movimiento anti-edad.,red-light-therapy,0.7276
DO RED LIGHT MASKS ACTUALLY WORK?,¿FUNCIONAN REALMENTE LAS MÁSCARAS LED DE LUZ ROJA?,¿Las máscaras de luz roja realmente funcionan?,red-light-therapy,0.6643
DOES IT HELP WITH WRINKLES?,¿AYUDAN A COMBATIR LAS ARRUGAS?,¿AYUDA CON LAS ARRIJONES?,red-light-therapy,0.6045
HOW OFTEN SHOULD YOU DO RED LIGHT THERAPY?,¿CON QUÉ FRECUENCIA DEBO UTILIZAR LA TERAPIA DE LUZ ROJA?,¿Con qué frecuencia debería hacerse terapia roja?,red-light-therapy,0.6348
DOES IT HURT TO USE?,¿ES UNA TERAPIA DOLOROSA?,¿Le duele usarlo?,red-light-therapy,0.5692
DOES RED LIGHT THERAPY TIGHTEN SKIN?,¿LA TERAPIA DE LUZ ROJA TENSA LA PIEL?,¿La terapia con luz roja tensa la piel?,red-light-therapy,0.7086
IS RED LIGHT THERAPY SAFE DURING PREGNANCY?,¿ES SEGURA LA TERAPIA DE LUZ ROJA DURANTE EL EMBARAZO?,¿Es seguro el tratamiento con luz roja durante el embarazo?,red-light-therapy,0.668
WHAT IS THE LED FREQUENCY WAVELENGTH OF THE RED LIGHT THERAPY?,¿CUÁL ES LA LONGITUD DE ONDA DE LA FRECUENCIA LED EN LA TERAPIA DE LUZ ROJA?,¿Cuál es la frecuencia de la longitud de onda del LED de la terapia con luz roja?,red-light-therapy,0.623
"Experience remarkable transformations with FOREO's pro-level skincare essentials. Effortlessly eliminate the day's impurities and makeup residue, revealing a refreshed, revitalized, and irresistibly soft complexion. Take your skincare routine to unparalleled heights by embracing FOREO's range of deeply moisturizing cleansers, hydration-boosting masks, youth-preserving serums, and much more.","El cuidado facial depende de la calidad de tus dispositivos y productos cosméticos. Para lucir y sentirte mejor, escoge productos que mejoran tu bienestar y tu cuidado personal. Elige dispositivos, mascarillas, sérums y cualquier producto para la piel de nivel profesional para que puedas lucir un aspecto inmejorable.","Experimenta transformaciones notables con FOREO's esenciales de cuidado de la piel de nivel profesional. Elimina sin esfuerzo las impurezas y restos de maquillaje del día, revelando una tez renovada, revitalizada e irresistiblemente suave. Lleva tu rutina de cuidado de la piel a cotas inigualables abrazando la gama de limpiadores intensamente hidratantes, mascarillas de aumento de la hidratación, serums que preservan la juventud y mucho más.",shop_skincare,0.6359
KIWI™ Pore Minimizing Toner Pads,KIWI™ Discos tonificantes y reductores de poros,KIWI™ Pads Minimiza Pores,shop_skincare,0.601
LUNA™ Ultra-Nourishing Cleansing Balm,LUNA™ Ultra-Nourishing Cleansing Balm,LUNA™ Purificante en Bálsamo Ultra-Nutritivo,shop_skincare,0.7852
5-in-1 spa device for deep hydration & better absorption of active ingredients.,Dispositivo spa de cuidado facial doméstico.,Dispositivo spa 5 en 1 para hidratación profunda y mejor absorción de ingredientes activos.,special-offers,0.6784
Compact facial spa device that unlocks the full value of masks.,Dispositivo spa facial para un tratamiento rápido.,Dispositivo facial spa compacto que desbloquea el valor total de las mascarillas.,special-offers,0.6248
Tiny but mighty facial cleansing brush for skincare on the go.,Cepillo de limpieza facial pequeño pero potente.,Cepillo facial de limpieza pequeño pero potente para el cuidado de la piel en movimiento.,special-offers,0.7943
ISSA™ mini Sensitive Brush Head,Cabezal de cepillado ISSA™ mini Sensitive,ISSA™ mini Cabeza de Cepillo Sensible,special-offers,0.699
