english,spanish,gemma3:4b,score
"When my eyes get puffy, I pull out my FOREO IRIS™ massager — it mimics the tapping used in traditional Asian skin care. It looks like a vibrator, so I call it my 'eyebrator.'","Cuando siento mis ojos hinchados, uso el masajeador FOREO IRIS™ . Este masajeador imita el masaje de presión tradicional asiático utilizado en el cuidado de la piel. Parece un vibrador, así que lo puedes considerar un 'vibrador para los ojos'.","Cuando mis ojos se hinchan, saco mi masajeador FOREO IRIS™ — imita el golpe utilizado en los tratamientos de cuidado de la piel asiáticos tradicionales. Parece un vibrador, así que lo llamo mi 'eyebrator'.",0.7577
250+ AWARDS,MÁS DE 250 GALARDONES,250+ PREMIOS,0.6945
Fewer wrinkles. In just 1 week.,Reafirma y tonifica. En 1 semana.,Menos arrugas. En solo 1 semana.,0.7746
Seriously. We've got the clinicals to back it up.,El primer dispositivo del mundo con 4 modos de microcorrientes.,En serio. Tenemos los estudios clínicos para respaldarlo.,0.5139
That's right. We just hacked aging.,Así es. Hemos descifrado el envejecimiento.,Eso es correcto. Acabamos de hackear el envejecimiento.,0.7099
You absolutely must own this,El dispositivo que debes tener,Debes poseer esto absolutamente,0.669
LET’S GET IN TOUCH,CONECTA CON NOSOTROS,Pónganse en contacto.,0.5162
Behind our global presence is a simple idea: to help millions of people feel great in their own skin. By getting professional results without leaving home.,"Detrás de cualquier éxito, hay una historia. La nuestra empezó con la idea de mejorar el cuidado personal, y ahora ayudamos a millones de personas a sentirse y verse mejor.",Detrás de nuestra presencia global hay una idea sencilla: ayudar a millones de personas a sentirse genial con su propia piel. Obtener resultados profesionales sin salir de casa.,0.7643
Fresh & radiant. Smooth & soft. Firm & healthy.,El LUNATM más suave y potente jamás creado,Fresco y radiante. Suave y suave. Firme y saludable.,0.4546
Swedish facial cleanse with clinically proven results.,La forma más higiénica de limpiar tu piel.,Limpiador facial sueco con resultados clínicamente probados.,0.7443
"Meet cutting-edge technology that’s designed to give you a deep in-pore cleanse. Remove 99% of dirt, oil and makeup residue. Boost circulation and collagen. Promote lymphatic drainage. Reduce puffiness. Improve absorption of active ingredients. And enjoy skin firming T-Sonic™ massages with your LUNA™ 4.","¿Sabías que tu piel acumula más de 4 kilos de suciedad y células muertas de la piel en un año? Limpiar tu piel con las manos es mucho menos eficaz de lo que piensas. Por eso hemos creado un dispositivo de limpieza facial 2 en 1 que elimina el 99% de suciedad, grasa y restos de maquillaje, y lo hemos probado clínicamente.","Conoce la tecnología de vanguardia que está diseñada para brindarte una limpieza profunda e intensa. Elimina el 99% de suciedad, aceite y restos de maquillaje. Estimula la circulación y el colágeno. Promueve el drenaje linfático. Reduce la hinchazón. Mejora la absorción de los ingredientes activos. Y disfruta de masajes T-Sonic™ reafirmantes con tu LUNA™ 4.",0.6731
Say goodbye to ineffective skincare routines and embrace the award-winning LUNA™ 4 brush for the softest deep cleanse of your life.,"Te ofrece una limpieza personalizada basada en el tipo de piel y las zonas con problemas. Además, reafirma tu piel con masajes guiados que tonifican zonas específicas de tu rostro y cuello. Suave. Eficaz. Indispensable.",Dígale adiós a las rutinas de cuidado de la piel ineficaces y adóptale la cepilla LUNA™ 4 para una limpieza profunda y suave como nunca.,0.6291
Firming massages,Masajes reafirmantes,Masajes de firmeza,0.779
Reduce blemishes,Reduce las imperfecciones,Reducir manchas,0.6939
Clinical-consumer results,Resultados clínicos,Resultados clínicos-consumidor,0.7425
Clinically proven to remove,Clínicamente eliminan el,Demostrado clínicamente para eliminar,0.6592
81% of users report reduced appearance of blemishes.,El 81% declaró una reducción de imperfecciones.,El 81% de los usuarios informan de una reducción en la apariencia de manchas.,0.7957
of users report reduced appearance of blemishes.,declaró una reducción de imperfecciones.,los usuarios informan de una reducción en la apariencia de manchas.,0.6899
"Are you ready to experience the gentlest and most effective cleanse of your life? LUNA™ 4 removes 99% of dirt, oil and makeup residue while promoting circulation, lymphatic drainage and absorption of active ingredients - all thanks to T-Sonic™ pulsations. Personalize the device to your skin needs, and enjoy video-guided skin firming massages via the app to enjoy a premium skincare experience whenever you want. Because you deserve a routine as unique as your skin.","¿Sabías que tu piel acumula más de 4 kilos de suciedad y células muertas en un año? Limpiar tu rostro con las manos no es muy eficaz. Por eso, hemos creado un dispositivo de limpieza facial 2 en 1 que elimina el 99% de suciedad, grasa y restos de maquillaje, y lo hemos probado clínicamente.","¿Está preparado para experimentar la limpieza más suave y eficaz de su vida? LUNA™ 4 elimina el 99% de suciedad, aceite y residuos de maquillaje, al tiempo que promueve la circulación, el drenaje linfático y la absorción de ingredientes activos, todo gracias a las pulsaciones T-Sonic™. Personalice el dispositivo para satisfacer las necesidades de su piel y disfrute de masajes faciales de firmeación guiados en vídeo a través de la aplicación para",0.6685
100% of users report more refreshed & radiant skin.,35 veces más higiénico que los cepillos con filamentos de nylon.,El 100% de los usuarios reporta más piel fresca y radiante.,0.6008
98% of users experience better absorption of skincare products.,El 96% de usuarios declaró sentir la piel más sana. El 81% una reducción de imperfecciones.,El 98% de los usuarios experimenta una mejor absorción de los productos para el cuidado de la piel.,0.7851
"Tailored cleanse with Gentle, Regular and Deep Cleanse modes.",El 86% de los usuarios declaró sentir la piel más firme y elástica.,"Limpieza personalizada con los modos Suave, Regular y Profundo.",0.4419
Travel pouch,Bolsa de transporte,Cartera de viaje,0.7153
Deep Tissue Massage,Masaje de tejido profundo,Masaje Profundo,0.7102
Trigger Point Massage Relieves muscle tightness - neck.,Masaje de puntos gatillo Calma la tensión muscular - cuello.,Trigger Point Massage Alivia la tensión muscular – cuello.,0.7205
Trigger Point Massage,Masaje de puntos gatillo,Trigger Point Massage,0.6674
Promotes calm - forehead & temples.,Favorece la relajación - frente y sien.,Promueve la calma - frente y sienes.,0.7258
Restores energy - eyebrows & ears.,Restaura la energía - pestañas y oídos.,Restaura energía - cejas y orejas.,0.7607
Firm,Reafirma,Firme,0.5745
One-time investment,Una inversión para siempre,Inversión única,0.7582
"FOREO Imagination™ has a luxurious, creamy texture, taking away the homemade feel of DIY masks and making them feel as fancy as a clinic treatment for a spa at home vibe.","FOREO Imagination™ tiene una textura cremosa y agradable que mejora la sensación de tu mascarilla facial casera para transformarla en un experiencia similar a la de un tratamiento clínico, desde la comodidad de tu casa.","FOREO Imagination™ tiene una textura cremosa lujosa, eliminando la sensación casera de las mascarillas hechas en casa y haciéndolas sentir tan elegantes como un tratamiento de clínica para un ambiente de spa en casa.",0.7646
T-SonicTM pulsations,Pulsaciones T-SonicTM Silicona ultra higiénica,T-Sonic™ pulsaciones,0.7367
LUNA™ 4 hair,LUNA™ 4 hair,LUNA™ 4 pelo,0.6331
Hong Kong SAR China Delivery estimate: 16/10/25,RAE de Hong Kong (China) Entrega prevista 10/16/25,Estimación de entrega: 16/10/25,0.7605
Réunion Delivery estimate: 20/10/25,Reunión Entrega prevista 10/20/25,Estimación de entrega Réunion: 20/10/25,0.7968
United Arab Emirates Delivery estimate: 16/10/25,Emiratos Árabes Unidos Entrega prevista 10/16/25,Fecha estimada de entrega: 16/10/25,0.7309
Uzbekistan Delivery estimate: 20/10/25,Uzbekistán Entrega prevista 10/20/25,Estimación de entrega: 20/10/25,0.7904
"Immediate lift, deep cleanse","Reafirmación inmediata, limpieza profunda","Levantamiento inmediato, limpieza profunda",0.7622
Highest price,Highest price,Mayor precio,0.7475
Lowest price,Lowest price,Precio más bajo,0.7762
Best-selling 2-in-1 smart facial cleansing & firming device.,Best-selling 2-in-1 smart facial cleansing & firming device.,"Dispositivo inteligente de limpieza y firmeza facial 2 en 1, más vendido.",0.7881
2-in-1 smart facial cleansing & firming for skin & beard.,2-in-1 smart facial cleansing & firming for skin & beard.,2 en 1 limpiador facial inteligente y reafirmante para piel y barba.,0.7905
"Near-infrared, red LED cleansing & microcurrent. For aging skin.","Near-infrared, red LED cleansing & microcurrent. For aging skin.","Near-infrared, red LED limpieza y microcorriente. Para pieles envejecidas.",0.7742
Dual-sided facial cleansing massager.,Dual-sided facial cleansing massager.,Masajeador facial de doble cara.,0.7171
Combination skin,Combination skin,Piel mixta,0.7307
Soft silicone facial cleansing brush for every skin type.,Soft silicone facial cleansing brush for every skin type.,Cepillo facial de silicona suave para todo tipo de piel.,0.6239
Sensitive skin,Sensitive skin,Piel sensible,0.7007
Thermo-facial cleansing brush that lifts your face with microcurrent.,Thermo-facial cleansing brush that lifts your face with microcurrent.,Cepillo limpiador facial Thermo-facial que levanta tu rostro con microcorriente.,0.7739
Compact dual-sided facial cleansing brush for all skin types.,Compact dual-sided facial cleansing brush for all skin types.,Cepillo facial de limpieza de doble cara para todo tipo de piel.,0.6686
The most gentle cleanse,The most gentle cleanse,La limpieza más suave,0.7511
Tiny but mighty facial cleansing brush for skincare on the go.,Tiny but mighty facial cleansing brush for skincare on the go.,Cepillo facial de limpieza pequeño pero potente para el cuidado de la piel en cualquier lugar.,0.7031
Cleanse & refresh on-the-go,Pie limpia y fresca estés donde estés,Limpiar y refrescar sobre la marcha,0.4472
Your travel-friendly skincare essential.,Cuidado de la piel en el gimnasio o de viaje,Tu esencial de cuidado de la piel para viajar.,0.6401
"LUNA™ 4's little sister - perfect for the times when you really need to cleanse your skin while out and about — after sweating at the gym, sleeping on a flight, or lying on the beach.","Toma el control del estado de tu piel incluso en los días más ajetreados. LUNATM 4 go es el hermano pequeño de LUNATM 4, y ha sido probado clínicamente que elimina el 99% de suciedad, grasa y restos de maquillaje. Es perfecto para esos momentos en los que necesitas limpiar tu piel fuera de casa - después de sudar en el gimnasio, dormir en un vuelo o descansar en la playa.","LUNA™ 4’s pequeña hermana – perfecta para cuando realmente necesitas limpiar tu piel mientras estás fuera — después de sudar en el gimnasio, dormir en un vuelo o estar tumbado en la playa.",0.605
"Effortless 1-min facial cleanse? Check. Targeted firming facial massage? Check. Light, compact, and travel-friendly? Check. Fresh, healthy-looking radiance? You know it!","¡Limpieza facial de 1 minuto sin esfuerzo? Sí. ¿Masaje facial reafirmante y preciso? Sí. ¿Ligero, compacto y fácil de transportar? Sí. ¿Piel fresca, sana y luminosa? ¡Por supuesto!","Limpieza facial sin esfuerzo de 1 minuto? Comprobado. Masaje facial reafirmante dirigido? Comprobado. Ligero, compacto y apto para viajar? Comprobado. Luminosidad fresca y saludable? ¡Lo sabes!",0.7575
Travel-friendly,Ideal para llevar de viaje,Viajero-amigable,0.5569
Firming massage,Masaje reafirmante,Masaje de tensado,0.657
Healthy complexion,Piel más sana,Complexión sana,0.6651
of users report healthier-looking skin.,declaró sentir la piel más sana.,los usuarios informan de una piel con un aspecto más saludable.,0.7571
"Compact & lightweight, LUNA™ 4 go offers a deep in-pore cleanse and firming massage on-the-go. Clinically proven to remove 99% of dirt, oil, and makeup residue - giving you a radiant complexion no matter where your adventures take you...","Toma el control del estado de tu piel incluso en los días más ajetreados. LUNA™ 4 go es el nuevo dispositivo esencial de cuidado facial para lucir una piel radiante en cualquier lugar. ¡Limpieza facial de 1 minuto sin esfuerzo? Sí. ¿Masaje facial reafirmante y preciso? Sí. ¿Ligero, compacto y fácil de transportar? Sí. ¿Piel fresca, sana y luminosa? ¡Por supuesto!","Compact & lightweight, LUNA™ 4 go ofrece un limpieza profunda en el poro y masaje reafirmante a la marcha. Clínicamente probado para eliminar el 99% de suciedad, aceite y residuos de maquillaje – dándote un cutis radiante sin importar dónde te lleven tus aventuras...",0.6322
2-zone brush head with thick and thin touchpoints for all skin types.,El 98% de usuarios sintió una mayor absorción de sus productos de cuidado facial.,Cabezal de cepillo de 2 zonas con puntos de contacto gruesos y finos para todo tipo de piel.,0.4845
Cleanse,Limpia tu piel,Purificar,0.6057
Firm,Reafirma la piel,Firma,0.547
SUPERCHARGED™ Barrier Restoring Essence Mist,SUPERCHARGED™ Bruma facial restauradora,SUPERCHARGED™ Esencia Enriquecida Restauradora en Aerosol,0.7252
Ultra-hygienic silicone,Resultados clínicos y opiniones de expertos,Ultra-higiénico silicono,0.4521
"Skincare smarter, not harder.",Limpieza facial inteligente para piel y barba,"Cuida tu piel de forma más inteligente, no más difícil.",0.5274
"Remove 99% of dirt, oil and sweat. Prevent breakouts. Eliminate razor burn. Take your facial cleansing routine to a pro level. Designed for expert care of thicker and oilier male skin, LUNA™ 4 MEN cleanses the face and conditions the beard for the smoothest shave of your life.","Tu piel acumula más de 4 kilos de suciedad y células muertas de la piel en un año. Limpiar tu rostro con las manos no es tan eficaz como piensas. Por eso, hemos creado un dispositivo de limpieza facial 2 en 1 que elimina el 99% de suciedad y grasa de la piel y el vello facial, y lo hemos probado clínicamente.","Elimina el 99% de la suciedad, el aceite y el sudor. Previene los brotes. Elimina la irritación por afeitar. Lleva tu rutina de limpieza facial a un nivel profesional. Diseñado para el cuidado experto de la piel masculina más gruesa y grasa, LUNA™ 4 MEN limpia el rostro y acondiciona el vello facial para el más suave de los afeitados de tu vida.",0.6871
"Flip the device over to energize your skin with an invigorating T-Sonic™ firming massage - for a toned, chiseled game face every single day.","Te ofrece una limpieza personalizada basada en el tipo de piel y las zonas con problemas. Reafirma la piel con masajes guiados que tonifican zonas específicas del rostro y el cuello. Además, prepara la piel para el afeitado. Un dispositivo esencial para el cuidado facial para los hombres con un estilo de vida activo.",Voltea el dispositivo para energizar tu piel con un masaje firme T-Sonic™ estimulante – para un rostro tonificado y definido todos los días.,0.573
Smoother shave,Afeitado más suave,A afeitar más suave,0.7092
Reduce blemishes,Basado en pruebas de uso de terceros,Reducir manchas,0.4663
"LUNATM 4 MEN is bacteria-resistant to reduce breakouts. It also gently exfoliates skin - meaning clogged pores, breakouts and ingrown hairs are a thing of the past. 91% of users report healthier-looking skin.",Reduce las imperfecciones,"LUNATM 4 MEN es resistente a las bacterias para reducir las brotadas. También exfolia suavemente la piel, lo que significa que las poros obstruidos, las brotadas y los vellos enquistados ya no existen. El 91% de los usuarios reporta una piel con un aspecto más saludable.",0.5204
Upgraded design,"LUNATM 4 MEN es resistente a las bacterias para reducir las imperfecciones. Además, exfolia con suavidad la piel, garantizando que los poros obstruidos, las imperfecciones y los pelos enquistados sean cosa del pasado. El 91% de usuarios declaró sentir la piel más sana.",Diseño mejorado,0.3919
"The most gentle LUNATM MEN yet, it’s made of 17% softer silicone touchpoints that glide even more effortlessly across skin to preserve its natural elasticity. It also features a new travel-lock function, 3 cleansing modes, and 5 massage patterns.",Diseño mejorado,"El LUNATM MEN más suave hasta la fecha, está hecho de puntos de contacto de silicona 17% más suaves que deslizan aún más suavemente sobre la piel para preservar su elasticidad natural. También cuenta con una nueva función de bloqueo para viajes, 3 modos de limpieza y 5 patrones de masaje.",0.4602
Clinical-consumer results,"El LUNATM MEN más suave jamás creado, fabricado con filamentos de silicona 17% más suaves que se deslizan sin esfuerzo sobre la piel para preservar su elasticidad natural. También incluye una nueva función de bloqueo de viaje, 3 modos de limpieza y 5 tipos de masaje.",Resultados clínicos-consumidor,0.2423
Clinically proven to remove 99% of dirt and oil.,Resultados clínicos,Clinicamente probado para eliminar el 99% del sucio y el aceite.,0.3761
Clinically proven to remove,Clínicamente eliminan el 99% de suciedad y grasa.,Demostrado clínicamente para eliminar,0.479
99%,Clínicamente eliminan el,99%,0.4755
of dirt and oil.,99%,de tierra y aceite.,0.4346
100% of users report skin feels better after cleansing with LUNATM compared to cleansing by hand.,de suciedad y grasa.,El 100% de los usuarios informa que la piel se siente mejor después de limpiar con LUNATM en comparación con la limpieza manual.,0.5727
100%,El 100% declaró sentir la piel mejor con LUNA™ que al limpiarla con las manos.,Cien por ciento,0.2939
of users report skin feels better after cleansing with LUNATM compared to cleansing by hand.,El 100%,los usuarios informan que la piel se siente mejor después de limpiar con LUNATM en comparación con la limpieza manual.,0.4822
"97% of users report softer skin, and a smoother shave.",declaró sentir la piel mejor con LUNA™ que al limpiarla con las manos.,El 97% de los usuarios informa de una piel más suave y un afeitado más suave.,0.6748
97%,El 97% de usuarios declaró sentir la piel lisa y el afeitado más suave.,97%,0.3398
"of users report softer skin, and a smoother shave.",El 97%,los usuarios informan de una piel más suave y un afeitado más suave.,0.3684
"94% of users report more energized skin, and an even skin tone.",de usuarios declaró sentir la piel lisa y el afeitado más suave.,El 94% de los usuarios informan de una piel más energizada y un tono de piel más uniforme.,0.7905
94%,El 94% declaró sentir la piel más revitalizada y con un tono más uniforme.,94%,0.322
"of users report more energized skin, and an even skin tone.",El 94%,los usuarios informan de una piel más energizada y un tono de piel más uniforme.,0.3782
91%,"El 91% declaró sentir la piel más firme, sana y elástica.",91%,0.3875
"of users report firmer, more elastic and healthier-looking skin.",El 91%,"Los usuarios informan de una piel más firme, más elástica y con un aspecto más saludable.",0.4386
"90% of users report a closer shave, less razor burn and longer lasting razor blades.","declaró sentir la piel más firme, sana y elástica.","El 90% de los usuarios informan de una piel más lisa, menos irritación por la rasura y láminas de afeitar que duran más.",0.6995
90%,El 90% de los usuarios declaró sentir el afeitado más apurado y menos irritación.,90%,0.3022
"of users report a closer shave, less razor burn and longer lasting razor blades.",El 90% de los usuarios declaró sentir el afeitado más apurado y menos irritación.,"los usuarios informan de una piel más lisa, menos irritación por la rasura y láminas de afeitar que duran más.",0.7827
"LUNA™ 4 MEN delivers a deep, personalized cleanse that targets your unique skin concerns, while firming the face and neck in 1 min. Experience the smoothest shave, reduce breakouts & ingrown hairs, prevent razor burn, and make razor blades last for up to 2x as long.","Tu piel acumula más de 4 kilos de suciedad y células muertas de la piel en un año, y limpiar tu rostro con las manos no es tan eficaz como piensas. Por eso, hemos creado un dispositivo de limpieza facial 2 en 1 que elimina el 99% de suciedad y grasa de la piel y el vello facial, y lo hemos probado clínicamente.","LUNA™ 4 MEN ofrece un limpieza profunda y personalizada que se dirige a tus preocupaciones cutáneas únicas, al tiempo que tensa la cara y el cuello en 1 minuto. Experimenta el afeitado más suave, reduce las imperfecciones y vellos encarnados, previene la irritación por afeitar y haz que las cuchillas duren hasta 2 veces más.",0.5716
100% of users report it's better than cleansing by hand.,35 veces más higiénico que los cepillos con filamentos de nylon,El 100% de los usuarios informa que es mejor que la limpieza manual.,0.6698
"94% of users report more energized skin, and an even skin tone.",El 100% de los usuarios declaró sentir la piel mejor que al limpiarla con las manos,El 94% de los usuarios informan de una piel más energizada y un tono de piel más uniforme.,0.7795
"90% of users report a closer shave, less razor burn & longer lasting razor blades.","El 91% de los usuarios declaró sentir la piel más firme, sana y elástica","El 90% de los usuarios informan de una afeitado más cercano, menos irritación y hojas de afeitar más duraderas.",0.6739
"Tailored cleanse with Gentle, Regular and Deep Cleanse modes.","El 90% de los usuarios declaró sentir el afeitado más apurado, menos irritación y una mayor duración de las cuchillas","Limpieza personalizada con los modos Suave, Regular y Profundo.",0.4345
"16 intensities, 4 guided massages & 600 uses per USB charge.","16 intensidades, 3 modos de limpieza, 4 masajes guiados y 5 tipos de masaje","16 intensidades, 4 masajes guiados y 600 usos por carga USB.",0.7025
About The story of FOREO FOREO partnerships MYSA: Beauty & Wellbeing Journal Find your ideal FOREO device! Technologies behind Benefits Clinical Results & Expert Reviews Contact us,ACERCA DE La historia de FOREO Colaboraciones de FOREO MYSA: blog de belleza y bienestar ¡Encuentra tu dispositivo FOREO ideal! Tecnologías y resultados Resultados clínicos y opiniones de expertos Contacta con nosotros,Sobre La historia de FOREO FOREO partnerships MYSA: Beauty & Wellbeing Journal ¡Encuentra tu dispositivo FOREO ideal! Tecnologías detrás Beneficios Resultados Clínicos & Reseñas Expertas Contacta con nosotros,0.7892
Clean skin. Fewer breakouts. Instant glow.,"Una piel limpia, sana y radiante. Todos los días.",Piel limpia. Menos brotes. Brillo instantáneo.,0.6377
The mini-but-mighty must-have for young skin,La mejor forma de preparar la piel,El mini pero poderoso imprescindible para la piel joven,0.5877
"Get clear, glowing skin with minimum effort. LUNA™ 4 mini unclogs pores to stop breakouts, and tackles an oily complexion. It's clinically proven to remove 99% of dirt, oil and makeup residue.","Ha sido probado clínicamente que elimina el 99% de suciedad, grasa y restos de maquillaje. Ultra higiénico. Más suave que nunca. Este compacto y potente limpiador y masajeador facial inteligente ilumina tu piel de una forma sencilla y agradable. El cabezal de cepillado de 2 zonas es perfecto para todo tipo de pieles.","Obtén una piel clara y luminosa con mínimo esfuerzo. LUNA™ 4 mini desobstruye los poros para detener los brotes y combate las pieles grasas. Está clínicamente probado para eliminar el 99% de suciedad, aceite y residuos de maquillaje.",0.7021
"When in a hurry, use 30-second Glow Boost mode for a quick refresh. Healthy skin is happy skin, and now every day can be a perfect skin day.","Fabricado con silicona resistente a las bacterias para disminuir las imperfecciones. Cuando tengas prisa, usa el modo Glow Boost de 30 segundos. Exfolia las células muertas de la piel, aumenta el drenaje linfático y la absorción de tus productos.","Cuando tengas prisa, usa el modo Glow Boost de 30 segundos para un refresco rápido. La piel sana es piel feliz, y ahora cada día puede ser un día perfecto para tu piel.",0.6188
Glow Boost,Glow Boost,Aumenta el brillo,0.645
Healthy complexion,Una piel sana,Complexión saludable,0.5806
"LUNATM 4 mini uses T-SonicTM pulsations and velvety-soft silicone touchpoints to remove impurities trapped deep within pores. It is clinically proven to remove 99% of dirt, oil and makeup residue, and is 35x more hygienic than brushes with nylon bristles.","LUNATM 4 mini uses T-SonicTM pulsations and velvety-soft silicone touchpoints to remove impurities trapped deep within pores. It is clinically proven to remove 99% of dirt, oil and makeup residue, and is 35x more hygienic than brushes with nylon bristles.","LUNATM 4 mini utiliza pulsaciones T-SonicTM y puntos de contacto de silicona suave al tacto para eliminar las impurezas atrapadas profundamente en los poros. Está clínicamente probado para eliminar el 99% del sucio, el aceite y los residuos del maquillaje, y es 35 veces más higiénico que los cepillos con cerdas de nailon.",0.7511
Reveal a radiant complexion in just 30 seconds. Quick-press Glow Boost mode gets you flawless skin when there’s no time for a full routine. 100% of users report more radiant skin after use.,Reveal a radiant complexion in just 30 seconds. Quick-press Glow Boost mode gets you flawless skin when there’s no time for a full routine. 100% of users report more radiant skin after use.,Revela una tez radiante en solo 30 segundos. El modo Glow Boost con solo un toque te da una piel perfecta cuando no hay tiempo para una rutina completa. El 100% de los usuarios informa de una piel más radiante tras su uso.,0.7825
Healthy complexion,Healthy complexion,Complexión saludable,0.7062
"T-SonicTM pulsations boost microcirculation - delivering nutrients to skin cells and eliminating toxins, while boosting lymphatic drainage. 100% of users report more refreshed skin, with 96% claiming skin looks healthier.","T-SonicTM pulsations boost microcirculation - delivering nutrients to skin cells and eliminating toxins, while boosting lymphatic drainage. 100% of users report more refreshed skin, with 96% claiming skin looks healthier.","Las pulsaciones T-Sonic™ estimulan la microcirculación – entregando nutrientes a las células de la piel y eliminando toxinas, al tiempo que favorecen el drenaje linfático. El 100% de los usuarios reporta una piel más fresca, y el 96% afirma que su piel luce más sana.",0.7991
Flawless prep,Flawless prep,Preparación impecable,0.7964
"Prep your skin for the most effective skincare routine. LUNATM 4 mini enables the active ingredients in your creams, serums, and masks to penetrate deep into skin, where they work the best. 98% of users report better absorption of skincare products.","Prep your skin for the most effective skincare routine. LUNATM 4 mini enables the active ingredients in your creams, serums, and masks to penetrate deep into skin, where they work the best. 98% of users report better absorption of skincare products.","Prepara tu piel para la rutina de cuidado facial más eficaz. LUNATM 4 mini permite que los ingredientes activos de tus cremas, serums y mascarillas penetren profundamente en la piel, donde funcionan mejor. El 98% de los usuarios informa de una mejor absorción de los productos para el cuidado de la piel.",0.7571
Reduce blemishes,Reduce blemishes,Reducir imperfecciones,0.6718
"Made of ultra-hygienic silicone, LUNATM 4 mini is bacteria-resistant to reduce breakouts. It also gently exfoliates skin, removing dead skin cells to reveal fresh healthy skin below. 81% of users report reduced appearance of blemishes.","Made of ultra-hygienic silicone, LUNATM 4 mini is bacteria-resistant to reduce breakouts. It also gently exfoliates skin, removing dead skin cells to reveal fresh healthy skin below. 81% of users report reduced appearance of blemishes.","Hecho de silicona ultra-higiénica, LUNATM 4 mini es resistente a las bacterias para reducir los brotes. También exfolia suavemente la piel, eliminando las células muertas para revelar una piel fresca y saludable debajo. El 81% de los usuarios informa de una reducción en la apariencia de las imperfecciones.",0.784
LUNATM 4 mini’s revolutionary silicone touchpoints are now 17% softer to glide even more effortlessly across the skin and preserve natural elasticity. It offers 12 intensities and lasts up to 500 uses per one USB charge. No replacement parts needed. Ever.,LUNATM 4 mini’s revolutionary silicone touchpoints are now 17% softer to glide even more effortlessly across the skin and preserve natural elasticity. It offers 12 intensities and lasts up to 500 uses per one USB charge. No replacement parts needed. Ever.,Los puntos de contacto de silicona revolucionarios del LUNATM 4 mini son ahora un 17% más suaves para deslizarse aún más suavemente sobre la piel y preservar elástica. Ofrece 12 intensidades y dura hasta 500 usos con una sola carga USB. Nunca se necesitan piezas de repuesto.,0.7479
of users report more refreshed skin.,declaró sentir la piel más fresca.,los usuarios informan de una piel más refrescada.,0.7695
of users report more radiant skin.,declaró sentir la piel más fresca y radiante.,los usuarios informan de una piel más luminosa.,0.7554
"The answer to all your skin problems is finally here. LUNA™ 4 mini uses T-Sonic™ massage to effortlessly deep clean pores, while exfoliating dull skin. With thicker touchpoints to target the oiler T-zone area, and thinner touchpoints to gently cleanse the rest of the face, this device is an essential for any young skincare enthusiast.","Un dispositivo compacto y potente indispensable para cualquier fan del cuidado facial. Ha sido probado clínicamente que sus pulsaciones T-Sonic™ eliminan el 99% de suciedad, grasa y restos de maquillaje para limpiar profundamente los poros, las zonas con problemas y reducir las imperfecciones. Y cuando tengas prisa, usa el modo Glow Boost de 30 segundos para una limpieza rápida.","La respuesta a todos tus problemas de piel ha llegado por fin. LUNA™ 4 mini utiliza el masaje T-Sonic™ para limpiar profundamente los poros de forma sencilla, mientras exfolia la piel apagada. Con puntos de contacto más gruesos para dirigirse al área T-zona más grasa, y puntos de contacto más finos para limpiar suavemente el resto del rostro, este dispositivo es esencial para cualquier entusiasta del cuidado de la piel joven.",0.7622
"Clinically proven to remove 99% of dirt, oil & makeup residue.",35 veces más higiénico que los filamentos de nylon.,"Clinicamente probado para eliminar el 99% del sucio, aceite y residuos de maquillaje.",0.5757
2-zone brush head & quick 30-second Glow Boost mode for ultimate ease.,Cabezal de 2 zonas y modo rápido Glow Boost para facilitar la limpieza.,Cabezal de cepillo de 2 zonas y modo de impulso de brillo de 30 segundos para la máxima facilidad.,0.762
Microcurrent & red light therapy,Limpia. Reafirma. Rejuvenece.,Microcurrent y terapia de luz roja,0.4099
Firm & plump,Reafirma y rellena,Firme y carnoso,0.4073
Travel pouch,Guía de inicio rápido,Bolsa de viaje,0.6012
General manual,Bolsa de transporte,Manual general,0.5699
"16 intensities, 4 guided massages & 5 massage patterns.",PRODUCTOS RELACIONADOS,"16 intensidades, 4 masajes guiados y 5 patrones de masaje.",0.3477
RELATED PRODUCTS,LUNA™ 4,Productos Relacionados,0.5151
LUNA™ 4 mini,Más ligero que el aire. Para una limpieza suave y agradable.,LUNA™ 4 mini,0.2978
LUNA’s plus must-have sidekick,"Comienza el día limpiando tu rostro con este suave limpiador de espuma. Formulado con aminoácidos para rellenar tu piel y vitamina E para retener la hidratación. Tu piel lucirá suave, radiante y con apariencia saludable.",LUNA’s plus must-have sidekick,0.1976
"All microcurrent devices must be used with a conductive serum, so we developed one exclusively for LUNATM plus. With squalane & hyaluronic acid. Rejuvenating. Antioxidant-rich. Ultra-hydrating.","Vegano, cruelty free, sin fragancia, probado dermatológicamente y para todo tipo de pieles.","Todos los dispositivos de microcorriente deben utilizarse con un serum conductor, así que hemos desarrollado uno exclusivo para LUNATM plus. Con escualano y ácido hialurónico. Reafirmante. Rico en antioxidantes. Ultra hidratante.",0.475
Unlock device,Micro-Foam Cleanser,Desbloquear dispositivo,0.5316
Tighten & firm,Reafirma y tonifica,Apretar y apretar.,0.4292
Microcurrent & Anti-Shock SystemTM Ultra-hygienic silicone,Microcorrientes y Anti-Shock SystemTM Silicona ultra higiénica,Microcurrent & Anti-Shock System™ Ultra-hygienic silicon,0.7553
